Node Name,Node Type,Policy,Parent Test Group,Test Name,Description,Element,Result Time,Result State,Actual Value
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.23 Detect Application Installations and Prompt for Elevation: Enabled","Detect Application Installations and Prompt for Elevation: Enabled","This test determines whether the 'User Account Control: Detect application installations and prompt for elevation' feature is enabled.  This setting supports system integrity by requiring explicit user consent to install programs on the system (i.e. the user is always notified of program installation).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableInstallerDetection",3/6/13 4:39 PM,passed,"EnableInstallerDetection=1"
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.23 Detect Application Installations and Prompt for Elevation: Enabled","Detect Application Installations and Prompt for Elevation: Enabled","This test determines whether the 'User Account Control: Detect application installations and prompt for elevation' feature is enabled.  This setting supports system integrity by requiring explicit user consent to install programs on the system (i.e. the user is always notified of program installation).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableInstallerDetection",3/6/13 4:39 PM,passed,"EnableInstallerDetection=1"
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.23 Detect Application Installations and Prompt for Elevation: Enabled","Detect Application Installations and Prompt for Elevation: Enabled","This test determines whether the 'User Account Control: Detect application installations and prompt for elevation' feature is enabled.  This setting supports system integrity by requiring explicit user consent to install programs on the system (i.e. the user is always notified of program installation).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableInstallerDetection",3/6/13 4:39 PM,passed,"EnableInstallerDetection=1"
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.24 Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","This test determines whether the 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' feature is enabled.  This setting supports system integrity by requiring that all applications requesting execution with a UIAccess integrity level reside in a secure location (i.e. %SYSTEMROOT%, %PROGRAMFILES%).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableSecureUIAPaths",3/6/13 4:39 PM,passed,"EnableSecureUIAPaths=1"
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.24 Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","This test determines whether the 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' feature is enabled.  This setting supports system integrity by requiring that all applications requesting execution with a UIAccess integrity level reside in a secure location (i.e. %SYSTEMROOT%, %PROGRAMFILES%).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableSecureUIAPaths",3/6/13 4:39 PM,passed,"EnableSecureUIAPaths=1"
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.24 Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","This test determines whether the 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' feature is enabled.  This setting supports system integrity by requiring that all applications requesting execution with a UIAccess integrity level reside in a secure location (i.e. %SYSTEMROOT%, %PROGRAMFILES%).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableSecureUIAPaths",3/6/13 4:39 PM,passed,"EnableSecureUIAPaths=1"
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.24 Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","Only Elevate UIAccess Applications that Are Installed in Secure Locations: Enabled","This test determines whether the 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' feature is enabled.  This setting supports system integrity by requiring that all applications requesting execution with a UIAccess integrity level reside in a secure location (i.e. %SYSTEMROOT%, %PROGRAMFILES%).","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|EnableSecureUIAPaths",3/6/13 4:39 PM,passed,"EnableSecureUIAPaths=1"
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.25 Switch to the Secure Desktop When Prompting for Elevation: Enabled","Switch to the Secure Desktop When Prompting for Elevation: Enabled","This test determines whether the 'User Account Control: Switch to the secure desktop when prompting for elevation' features is enabled.  This setting promotes system integrity by reducing the likelihood of UAC prompt spoofing by malicious software -- elevation prompts are always shown over the secure desktop.

NOTE:  It is recommended that administrative actions be performed by an administrative user while logged on as administrator.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|PromptOnSecureDesktop",3/6/13 4:39 PM,passed,"PromptOnSecureDesktop=1"
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.25 Switch to the Secure Desktop When Prompting for Elevation: Enabled","Switch to the Secure Desktop When Prompting for Elevation: Enabled","This test determines whether the 'User Account Control: Switch to the secure desktop when prompting for elevation' features is enabled.  This setting promotes system integrity by reducing the likelihood of UAC prompt spoofing by malicious software -- elevation prompts are always shown over the secure desktop.

NOTE:  It is recommended that administrative actions be performed by an administrative user while logged on as administrator.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|PromptOnSecureDesktop",3/6/13 4:39 PM,passed,"PromptOnSecureDesktop=1"
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.25 Switch to the Secure Desktop When Prompting for Elevation: Enabled","Switch to the Secure Desktop When Prompting for Elevation: Enabled","This test determines whether the 'User Account Control: Switch to the secure desktop when prompting for elevation' features is enabled.  This setting promotes system integrity by reducing the likelihood of UAC prompt spoofing by malicious software -- elevation prompts are always shown over the secure desktop.

NOTE:  It is recommended that administrative actions be performed by an administrative user while logged on as administrator.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|PromptOnSecureDesktop",3/6/13 4:39 PM,passed,"PromptOnSecureDesktop=1"
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.25 Switch to the Secure Desktop When Prompting for Elevation: Enabled","Switch to the Secure Desktop When Prompting for Elevation: Enabled","This test determines whether the 'User Account Control: Switch to the secure desktop when prompting for elevation' features is enabled.  This setting promotes system integrity by reducing the likelihood of UAC prompt spoofing by malicious software -- elevation prompts are always shown over the secure desktop.

NOTE:  It is recommended that administrative actions be performed by an administrative user while logged on as administrator.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System|PromptOnSecureDesktop",3/6/13 4:39 PM,passed,"PromptOnSecureDesktop=1"
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.26 Debug Programs: Administrators","Debug Programs: Administrators","This test determines whether the list of users and/or groups permitted to 'Debug programs' is limited to the Administrators group.  This setting promotes system integrity and information confidentiality by allowing only the most trusted users to rightfully attach a debugger to any process or to the kernel.","Computer",3/6/13 4:38 PM,passed,"DebugPrivilege=BUILTIN\Administrators"
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.26 Debug Programs: Administrators","Debug Programs: Administrators","This test determines whether the list of users and/or groups permitted to 'Debug programs' is limited to the Administrators group.  This setting promotes system integrity and information confidentiality by allowing only the most trusted users to rightfully attach a debugger to any process or to the kernel.","Computer",3/6/13 4:38 PM,passed,"DebugPrivilege=BUILTIN\Administrators"
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.26 Debug Programs: Administrators","Debug Programs: Administrators","This test determines whether the list of users and/or groups permitted to 'Debug programs' is limited to the Administrators group.  This setting promotes system integrity and information confidentiality by allowing only the most trusted users to rightfully attach a debugger to any process or to the kernel.","Computer",3/6/13 4:38 PM,passed,"DebugPrivilege=BUILTIN\Administrators"
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.26 Debug Programs: Administrators","Debug Programs: Administrators","This test determines whether the list of users and/or groups permitted to 'Debug programs' is limited to the Administrators group.  This setting promotes system integrity and information confidentiality by allowing only the most trusted users to rightfully attach a debugger to any process or to the kernel.","Computer",3/6/13 4:38 PM,passed,"DebugPrivilege=BUILTIN\Administrators"
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.31 IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","This test verifies that IPv6 Source Routing Protection Level is set to Highest protection, source routing is completely disabled. This setting prevents a Windows computer with multiple network interfaces from passing source-routed traffic which may indicate malicious activity on a protected network.","HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters|DisableIPSourceRouting",3/6/13 4:39 PM,failed,""
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.31 IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","This test verifies that IPv6 Source Routing Protection Level is set to Highest protection, source routing is completely disabled. This setting prevents a Windows computer with multiple network interfaces from passing source-routed traffic which may indicate malicious activity on a protected network.","HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters|DisableIPSourceRouting",3/6/13 4:39 PM,failed,""
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.31 IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","This test verifies that IPv6 Source Routing Protection Level is set to Highest protection, source routing is completely disabled. This setting prevents a Windows computer with multiple network interfaces from passing source-routed traffic which may indicate malicious activity on a protected network.","HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters|DisableIPSourceRouting",3/6/13 4:39 PM,failed,""
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.31 IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","IPv6 Source Routing Protection Level: Highest Protection, Source Routing Is Completely Disabled","This test verifies that IPv6 Source Routing Protection Level is set to Highest protection, source routing is completely disabled. This setting prevents a Windows computer with multiple network interfaces from passing source-routed traffic which may indicate malicious activity on a protected network.","HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters|DisableIPSourceRouting",3/6/13 4:39 PM,failed,""
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.32 IPv6 TCP Data Retransmissions Is Set to 3","IPv6 TCP Data Retransmissions Is Set to 3","This test verifies that ""IPv6 TCP Data Retransmissions"" policy is set to 3. This setting will limit the potential for malicious hosts to exhaust a target computer's resources by never sending any acknowledgement messages for data that was transmitted by the target computer.","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters|TcpMaxDataRetransmissions",3/6/13 4:39 PM,failed,""
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.32 IPv6 TCP Data Retransmissions Is Set to 3","IPv6 TCP Data Retransmissions Is Set to 3","This test verifies that ""IPv6 TCP Data Retransmissions"" policy is set to 3. This setting will limit the potential for malicious hosts to exhaust a target computer's resources by never sending any acknowledgement messages for data that was transmitted by the target computer.","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters|TcpMaxDataRetransmissions",3/6/13 4:39 PM,failed,""
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.32 IPv6 TCP Data Retransmissions Is Set to 3","IPv6 TCP Data Retransmissions Is Set to 3","This test verifies that ""IPv6 TCP Data Retransmissions"" policy is set to 3. This setting will limit the potential for malicious hosts to exhaust a target computer's resources by never sending any acknowledgement messages for data that was transmitted by the target computer.","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters|TcpMaxDataRetransmissions",3/6/13 4:39 PM,failed,""
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.32 IPv6 TCP Data Retransmissions Is Set to 3","IPv6 TCP Data Retransmissions Is Set to 3","This test verifies that ""IPv6 TCP Data Retransmissions"" policy is set to 3. This setting will limit the potential for malicious hosts to exhaust a target computer's resources by never sending any acknowledgement messages for data that was transmitted by the target computer.","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters|TcpMaxDataRetransmissions",3/6/13 4:39 PM,failed,""
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.33 Require Trusted Path for Credential Entry: Enabled","Require Trusted Path for Credential Entry: Enabled","This test verifies that ""Require trusted path for credential entry"" policy is set to Enabled. When this setting is enabled, instead of displaying the credentials dialog, Windows will first 
prompt the user to press Control+Alt+Delete, then Windows will switch to the secure desktop to accept the users credentials.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI|EnableSecureCredentialPrompting",3/6/13 4:39 PM,failed,""
"vsphere.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.33 Require Trusted Path for Credential Entry: Enabled","Require Trusted Path for Credential Entry: Enabled","This test verifies that ""Require trusted path for credential entry"" policy is set to Enabled. When this setting is enabled, instead of displaying the credentials dialog, Windows will first 
prompt the user to press Control+Alt+Delete, then Windows will switch to the secure desktop to accept the users credentials.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI|EnableSecureCredentialPrompting",3/6/13 4:39 PM,failed,""
"vspheredb.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.33 Require Trusted Path for Credential Entry: Enabled","Require Trusted Path for Credential Entry: Enabled","This test verifies that ""Require trusted path for credential entry"" policy is set to Enabled. When this setting is enabled, instead of displaying the credentials dialog, Windows will first 
prompt the user to press Control+Alt+Delete, then Windows will switch to the secure desktop to accept the users credentials.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI|EnableSecureCredentialPrompting",3/6/13 4:39 PM,failed,""
"zeya.pdxse.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","2.33 Require Trusted Path for Credential Entry: Enabled","Require Trusted Path for Credential Entry: Enabled","This test verifies that ""Require trusted path for credential entry"" policy is set to Enabled. When this setting is enabled, instead of displaying the credentials dialog, Windows will first 
prompt the user to press Control+Alt+Delete, then Windows will switch to the secure desktop to accept the users credentials.","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI|EnableSecureCredentialPrompting",3/6/13 4:39 PM,failed,""
"twdemo.tripwire.com",Windows Server,"MS Windows 2008 DC Cybercrime Controls","3. 1 Do Not Allow Drive Redirection: Enabled","Do Not Allow Drive Redirection: Enabled","This test verifies that the 'Do not allow drive redirection' setting is enabled. This setting prevents users from sharing the local drives on their client computers to Terminal Servers that they access.","HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Terminal Services|fDisableCdm",3/6/13 4:39 PM,failed,""
